Anode Mass Flow Rate [mg/s],Thrust [mN],Cathode Keeper Voltage [V],Discharge Voltage [V],Discharge Current [A],Beam Current [A],Electromagnetic Inner Coil Current [A],Electromagnetic Outer Coil Current [A],
16.5,9.6,0,300,0.607,0,1.9,1.6,
16.5,9.6,0,300,0.625,0,1.9,1.6,
16.5,9.8,0,300,0.649,0,1.7,1.4,
18.8,11.5,0,300,0.711,0,2.25,1.85,
18.8,11.8,0,300,0.729,0,2.25,1.85,
18.8,11.3,0,300,0.72,0,2.25,1.85,
21.1,13.8,0,300,0.833,0,3.2,3,
21.1,13.7,0,300,0.83,0,2.66,2.16,
21.1,13.5,0,300,0.827,0,2.25,1.85,
23.5,15.6,0,300,0.936,0,2.66,2.16,
23.5,15.6,0,300,0.939,0,2.66,2.16,
24.5,16.3,0,300,0.982,0,2.25,1.85,
24.9,16.6,0,300,1,0,2.25,1.85,
16.5,10.1,0,300,0.618,0,2.25,1.85,
16.5,10.3,0,300,0.628,0,2.25,1.85,
18.8,11.9,0,300,0.725,0,2.25,1.85,
21.1,13.8,0,300,0.836,0,2.66,2.16,
21.1,14,0,300,0.844,0,2.66,2.16,
23.5,16,0,300,0.943,0,2.25,1.85,
25.8,17.9,0,300,1.048,0,2.25,1.85,
25.8,18,0,300,1.045,0,2.25,1.85,
30.5,22.1,0,300,1.257,0,2.25,1.85,
16.9,9.2,0,250,0.641,0,1.9,1.6,
16.9,9.5,0,250,0.64,0,2.25,1.85,
16.9,9.4,0,250,0.64,0,2.25,1.85,
16.9,9.5,0,250,0.645,0,2.25,1.85,
20.6,12.1,0,250,0.803,0,2.25,1.85,
20.6,12,0,250,0.807,0,2.25,1.85,
19.4,11.2,0,250,0.765,0,1.7,1.4,
19.4,11.3,0,250,0.761,0,1.9,1.6,
19.4,11.2,0,250,0.757,0,1.9,1.6,
21.8,13.1,0,250,0.87,0,1.9,1.6,
21.8,13,0,250,0.86,0,1.9,1.6,
24.2,14.7,0,250,0.967,0,2.66,2.16,
24.2,14.8,0,250,0.979,0,1.9,1.6,
26.6,16.7,0,250,1.077,0,2.25,1.85,
26.6,16.7,0,250,1.072,0,2.25,1.85,
29,18.5,0,250,1.185,0,2.25,1.85,
29,18.6,0,250,1.183,0,2.25,1.85,
31.4,20.4,0,250,1.305,0,2.25,1.85,
36.2,24.1,0,250,1.54,0,2.66,2.16,
36.2,24.4,0,250,1.576,0,2.25,1.85,
16.5,9.4,0,275,0.598,0,2.66,2.16,
16.5,9.4,0,275,0.609,0,2.25,1.85,
18.8,11.1,0,275,0.714,0,2.25,1.85,
18.8,11.3,0,275,0.717,0,2.25,1.85,
21.1,13,0,275,0.823,0,2.66,2.16,
23.5,15.2,0,275,0.945,0,2.66,2.16,
23.5,15.2,0,275,0.928,0,2.25,1.85,
25.8,16.9,0,275,1.037,0,2.25,1.85,
25.8,17,0,275,1.033,0,2.25,1.85,
27.3,18.1,0,275,1.105,0,2.25,1.85,
27.3,18.3,0,275,1.099,0,2.25,1.85,
30.5,21.1,0,275,1.258,0,2.25,1.85,
35.2,25,0,275,1.475,0,2.66,2.16,
21.1,13.4,0,275,0.83,0,1.9,1.6,
19,11.2,0,275,0.73,0,2.25,1.85,
